NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240121;0.0;1;-1.5;1;100;9;10.4;1;518;9;3.5;1;4.5;1;11.9;1;-2.0;9;-1.7;9;;;;;5.1;9;;;;;;;;;;;;;18.0;9;60;9;2342;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240122;0.5;1;8.9;1;42;9;12.6;1;1212;9;9.9;1;10.8;1;3.7;1;5.9;9;6.2;9;;;;;6.0;9;;;;;;;;;;;;;18.0;9;60;9;212;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240123;0.5;1;6.1;1;412;9;12.8;1;554;9;8.9;1;9.5;1;6.7;1;4.9;9;5.5;9;;;;;4.5;9;;;;;;;;;;;;;13.0;9;250;9;2354;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240124;2.0;1;10.8;1;1018;9;14.1;1;1306;9;12.4;1;12.5;1;3.3;1;9.8;9;9.9;9;;;;;3.7;9;;;;;;;;;;;;;13.0;9;230;9;118;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240125;0.5;1;9.4;1;412;9;12.4;1;1312;9;10.6;1;10.9;1;3.0;1;9.1;9;9.2;9;;;;;1.9;9;;;;;;;;;;;;;7.0;9;30;9;1548;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240126;1.5;1;6.0;1;1754;9;11.4;1;1300;9;8.4;1;8.7;1;5.4;1;-0.1;9;2.9;9;;;;;2.9;9;;;;;;;;;;;;;10.0;9;300;9;1018;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240127;0.5;1;-0.9;1;736;9;7.0;1;1448;9;3.0;1;3.1;1;7.9;1;-5.5;9;-3.2;9;;;;;1.4;9;;;;;;;;;;;;;5.0;9;360;9;1806;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240128;0.0;1;0.1;1;200;9;8.2;1;1506;9;4.6;1;4.2;1;8.1;1;-2.9;9;-1.5;9;;;;;2.0;9;;;;;;;;;;;;;6.0;9;360;9;406;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240129;0.0;1;5.1;1;724;9;12.7;1;1400;9;9.2;1;8.9;1;7.6;1;3.5;9;4.3;9;;;;;2.7;9;;;;;;;;;;;;;7.0;9;60;9;1254;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240130;0.0;1;8.5;1;1754;9;11.2;1;1200;9;9.3;1;9.9;1;2.7;1;5.3;9;6.9;9;;;;;2.2;9;;;;;;;;;;;;;8.0;9;360;9;518;9;;;;;;;;
