NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240121;0.0;1.0;-1.5;1.0;100.0;9.0;10.4;1.0;518.0;9.0;3.5;1;4.5;1.0;11.9;1.0;-2.0;9.0;-1.7;9.0;5.1;9;18.0;9.0;60.0;9.0;2342.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240122;0.5;1.0;8.9;1.0;42.0;9.0;12.6;1.0;1212.0;9.0;9.9;1;10.8;1.0;3.7;1.0;5.9;9.0;6.2;9.0;6.0;9;18.0;9.0;60.0;9.0;212.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240123;0.5;1.0;6.1;1.0;412.0;9.0;12.8;1.0;554.0;9.0;8.9;1;9.5;1.0;6.7;1.0;4.9;9.0;5.5;9.0;4.5;9;13.0;9.0;250.0;9.0;2354.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240124;2.0;1.0;10.8;1.0;1018.0;9.0;14.1;1.0;1306.0;9.0;12.4;1;12.5;1.0;3.3;1.0;9.8;9.0;9.9;9.0;3.7;9;13.0;9.0;230.0;9.0;118.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240125;0.5;1.0;9.4;1.0;412.0;9.0;12.4;1.0;1312.0;9.0;10.6;1;10.9;1.0;3.0;1.0;9.1;9.0;9.2;9.0;1.9;9;7.0;9.0;30.0;9.0;1548.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240126;1.5;1.0;6.0;1.0;1754.0;9.0;11.4;1.0;1300.0;9.0;8.4;1;8.7;1.0;5.4;1.0;-0.1;9.0;2.9;9.0;2.9;9;10.0;9.0;300.0;9.0;1018.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240127;0.5;1.0;-0.9;1.0;736.0;9.0;7.0;1.0;1448.0;9.0;3.0;1;3.1;1.0;7.9;1.0;-5.5;9.0;-3.2;9.0;1.4;9;5.0;9.0;360.0;9.0;1806.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240128;0.0;1.0;0.1;1.0;200.0;9.0;8.2;1.0;1506.0;9.0;4.6;1;4.2;1.0;8.1;1.0;-2.9;9.0;-1.5;9.0;2.0;9;6.0;9.0;360.0;9.0;406.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240129;0.0;1.0;5.1;1.0;724.0;9.0;12.7;1.0;1400.0;9.0;9.2;1;8.9;1.0;7.6;1.0;3.5;9.0;4.3;9.0;2.7;9;7.0;9.0;60.0;9.0;1254.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240130;0.0;1.0;8.5;1.0;1754.0;9.0;11.2;1.0;1200.0;9.0;9.3;1;9.9;1.0;2.7;1.0;5.3;9.0;6.9;9.0;2.2;9;8.0;9.0;360.0;9.0;518.0;9.0
