Identifiant noeud amont,Identifiant noeud aval,cost
597,594,12.092588259502246
653,435,225.01255370895345
2508,2693,17.69178663092726
327,309,10.47401859294265
529,489,8.815528905159077
2257,2260,10.035342331444332
597,594,12.092588259502246
2903,2900,6.124330358058873
243,2743,13.53288305967438
3000,2999,7.7288267100695185
2058,3129,12.154424758402913
597,594,10.756390661767194
2508,2693,17.69178663092726
327,309,15.711027889413977
529,489,13.223293357738616
2257,2260,5.045393105864277
597,594,10.756390661767194
